name,score,followers,genre,youtube_subscribers,youtube_views,headliner,headliner_2,popularity_score
John Coffey,22,19223,"punk, alternative rock",142,105675,0,0,27.42
Deafheaven,48,320532,"black metal, shoegaze, post-rock",721,7746714,0,0,59.47
Volviers,27,5557,rap,1420,690843,0,0,34.43
Mad Caddies,44,162423,"ska punk, ska, punk, skate punk, reggae rock",12400,1564704,0,0,56.43
Denzel Curry,72,2945809,punk rap,1600000,658612168,0,1,98.94
Terminal Sleep,26,39280,"deathcore, hardcore, metalcore",24500,1960241,0,0,46.32
Bullet For My Valentine,68,3640611,"metalcore, metal",2090000,1383612102,1,0,100.0
Catbite,28,20062,"ska, ska punk",3270,497055,0,0,38.85
Perturbator,52,379635,"synthwave, darkwave, vaporwave",116000,71817684,0,1,75.09
French II,15,2674,"breakbeat, uk funky, uk garage",83900,5847038,0,0,38.82
Turnstile,66,951476,"hardcore punk, hardcore",245000,122134818,1,0,86.18
Filth,41,87075,deathcore,463000,109822253,0,0,69.5
Guilt Trip,49,83117,"hardcore, groove metal, hardcore punk, metalcore",8800,2418793,0,0,57.32000000000001
Street Dogs,36,66066,"celtic punk, punk, celtic rock, skate punk, ska punk",1600,2434003,0,0,48.35
Pain of Truth,39,58707,"hardcore, hardcore punk",3690,1711028,0,0,49.79
State Power,14,2316,"hardcore punk, hardcore",420,98327,0,0,19.689999999999998
TankZilla,8,1676,"stoner rock, stoner metal, space rock",41,12645,0,0,7.5600000000000005
Pendulum,64,1051297,"drum and bass, dubstep",9230,164185812,1,0,81.16
Driveways,50,60427,pop punk,154,8767164,0,0,53.7
Bad Wolves,63,947544,metal,2650,216916390,0,0,79.16
Stray From The Path,43,153673,"metalcore, hardcore, melodic hardcore, hardcore punk, mathcore",1870,1168701,0,0,52.16
Alien Ant Farm,60,1104339,"nu metal, alternative metal",32100,133856951,0,0,81.0
Fat Dog,39,62503,new rave,119000,17418943,0,0,61.09
House of Protection,43,80323,metalcore,53000,7170214,0,0,60.08
Teen Mortgage,44,77720,"egg punk, punk, garage rock",6940,1930833,0,0,54.03
SPARE KID,12,1176,pop punk,65,5168,0,0,6.87
Kim Dracula,54,625902,trap metal,678000,160521788,0,0,82.06
Mikki Wood,2,316,garage punk,47,9815,0,0,0.0
South Arcade,59,306598,"pop punk, alternative rock, nu metal",345000,261956206,0,0,82.45
Employed To Serve,29,48229,"mathcore, metalcore",2680,439522,0,0,41.06
Trophy Eyes,43,121019,"pop punk, melodic hardcore, emo",68,4976318,0,0,49.87
For I Am King,19,14643,"melodic death metal, deathcore, metalcore",52100,9096121,0,0,45.519999999999996
The Dreadnoughts,48,147557,"sea shanties, celtic punk, celtic rock, folk punk, polka, celtic",61400,33110630,0,0,67.89
Knocked Loose,61,675651,"hardcore, metalcore, deathcore, hardcore punk, mathcore",60000,25019321,0,1,76.98
Anxious,38,51058,"midwest emo, melodic hardcore, pop punk",2530,1352891,0,0,47.81
Catscan,32,10318,"gabber, hardcore, hardcore techno, frenchcore, speedcore",3230,141358,0,0,35.699999999999996
Slapshot,28,43905,"hardcore punk, hardcore, punk",45700,16815989,0,0,53.73
Heaven Shall Burn,48,302764,"melodic death metal, metalcore, deathcore, metal, death metal",44100,17687609,0,1,67.78999999999999
zebrahead,53,364329,"skate punk, punk, pop punk",1390,36926564,0,0,66.85
Refused,53,304990,"hardcore punk, post-hardcore, punk, hardcore, skate punk",475,9850317,0,1,61.46
Dayseeker,66,571623,"metalcore, post-hardcore",210000,162916400,0,0,85.26
Sex Pistols,55,2055671,"punk, proto-punk",427000,206172609,1,0,85.61999999999999
Currents,60,356125,"metalcore, djent, deathcore, metal",19800,52386782,0,0,74.87
The Haunted Youth,47,49270,"indie rock, psychpop, new wave",32100,22868951,0,0,62.55
Tommyknocker,41,22702,"gabber, hardcore, hardcore techno, frenchcore, happy hardcore, hardstyle, speedcore",2400,185955,0,0,41.980000000000004
Northlane,51,385180,"djent, metalcore, progressive metal, metal, deathcore, post-hardcore",82400,29949659,0,0,72.02
HEALTH,59,348200,"noise rock, industrial, witch house, industrial rock, industrial metal",123000,95521394,0,0,78.71000000000001
The Ghost Inside,53,409258,"metalcore, melodic hardcore, hardcore, deathcore, post-hardcore, metal",1340,24074146,0,1,66.06
grandson,64,1265811,"alternative rock, rap rock, alternative hip hop",2580,409061612,0,0,81.89
Extince,29,15958,"nederpop, hollands, rap, hip-hop",250,287091,0,0,33.300000000000004
Static Dress,47,100289,"shoegaze, post-hardcore, metalcore",21900,5322092,0,0,60.309999999999995
BRACES,15,2601,"deathcore, metalcore",1350,814309,0,0,27.439999999999998
Booze & Glory,41,79061,"punk, ska punk, ska, celtic punk",128000,92321389,0,0,66.79
TikTok Tammo,27,4654,nederpop,31900,16574595,0,0,46.6
Karen Dió,42,34184,riot grrrl,12300,1143064,0,0,50.54
The Scratch,46,61002,celtic punk,105,1071795,0,0,46.239999999999995
H2O,38,107487,"hardcore punk, hardcore, melodic hardcore, skate punk, punk, ska punk",2730000,1290673154,0,0,77.57
Model/Actriz,39,67426,"noise rock, industrial rock, post-punk",31,496647,0,0,39.69
Punk Rock Factory,42,163663,"garage rock, proto-punk, rock and roll",124000,22722593,0,0,65.73
Maria Iskariot,24,10436,punk,494,40400,0,0,26.229999999999997
Terror,49,219370,"hardcore, hardcore punk, groove metal, metalcore",92400,1893662,0,0,63.05
Drukwerk,44,50340,"nederpop, hollands",1310,3238363,0,0,51.5
Bony Macaroni,15,2746,punk rock,1180,133969,0,0,22.97
Chaser,26,10817,"skate punk, melodic hardcore, punk, ska punk",143000,36719120,0,0,52.75
Donots,46,164358,"punk rock, pop punk",31400,32058104,0,0,66.17
Poppy,67,1798674,metal,3120000,731224066,0,0,96.72
Creeper,44,100035,horror punk,40800,13662180,0,0,62.28
Within Destruction,37,117894,"deathcore, metalcore, djent, death metal",48400,13082878,0,0,59.81999999999999
Ophidian,35,31881,"gabber, hardcore, frenchcore, hardcore techno, industrial, speedcore, hardstyle",26700,6546965,0,0,52.769999999999996
Doodseskader,29,9814,sludge metal,2200,441294,0,0,36.44
DJ Ruffneck,31,10787,"gabber, hardcore, hardcore techno, happy hardcore",57100,10605498,0,0,50.449999999999996
letlive.,38,106638,post-hardcore,3320,1388499,0,0,50.3
Spyro Gyra,46,186721,"smooth jazz, jazz fusion, jazz, jazz funk, cool jazz",24600,1163787,0,0,58.03
Headbussa,16,6014,"hardcore, hardcore punk",274,40721,0,0,20.330000000000002
Mark Foggo,11,4414,"ska, rocksteady, ska punk, reggae rock",436,106671,0,0,20.39
Lagwagon,50,306400,"skate punk, punk, melodic hardcore, ska punk, hardcore punk, ska, pop punk",22000,3770815,0,0,63.82
PVRIS,59,728555,"electropop, pop rock, alternative rock",179000,85262634,0,0,81.02000000000001
Hot Milk,49,167152,pop punk,1560,16170911,0,0,61.150000000000006
Bad Nerves,44,93911,"egg punk, garage rock",14700,4002543,0,0,57.49999999999999
Evergreen Terrace,35,78149,"metalcore, melodic hardcore, hardcore, post-hardcore",4380,2650614,0,0,50.160000000000004
For I Am King,19,14643,"melodic death metal, deathcore, metalcore",2350,310201,0,0,32.39
Smash Into Pieces,61,371037,"pop metal, alternative metal, alternative rock, electronic rock",326000,349308765,0,0,84.45
Otto Von Schirach,24,19253,"breakcore, miami bass, idm, glitch",10900,1966975,0,0,42.25
BUG,17,1538,nederpop,518,31780,0,0,17.46
Restraining Order,23,20687,"hardcore punk, hardcore",519,171059,0,0,31.259999999999998
Thrice,56,520904,"post-hardcore, screamo",178000,141301608,0,0,80.03
Motionless In White,73,2174189,"metalcore, metal",1300000,937606176,0,1,99.09
Polaris,59,421212,"metalcore, djent, metal, deathcore",334000,429106939,0,1,84.47
The Meffs,27,12848,punk,882,37388,0,0,28.83
Frank Turner,52,391227,folk punk,117000,75171395,0,1,75.3
Stick To Your Guns,48,247794,"melodic hardcore, metalcore, hardcore, hardcore punk, post-hardcore",11800,2117955,0,0,59.98
Aviana,45,101655,"metalcore, djent, deathcore",303,4073383,0,0,52.11
Caskets,57,246902,"metalcore, post-hardcore",32700,39237281,0,0,72.65
Yellowcard,64,1713919,"pop punk, punk, emo",226000,292480287,0,1,88.91
High Vis,45,79103,post-punk,647,1291767,0,0,49.81
IMANU,49,77321,"drum and bass, drumstep",21600,11348823,0,0,62.31
Vegan Music,3,310,"hardcore, rap, hip hop",2500,205221,0,0,14.02
LANDMVRKS,58,361358,"metalcore, deathcore, metal",63800,23993661,0,1,73.96000000000001
Buunshin,40,30514,"drum and bass, liquid funk, drumstep",4680,787240,0,0,46.93
Press Club,27,30780,"punk, rock",1670,1596595,0,0,41.38
While She Sleeps,53,520959,"metalcore, metal, post-hardcore",312000,154436855,0,1,79.82000000000001
Jinjer,54,843307,"metal, djent, progressive metal, groove metal, metalcore",435000,107466366,0,1,81.2
Hot Water Music,43,154418,"punk, melodic hardcore, skate punk, post-hardcore",755,5124428,0,0,54.36
Freddie Dredd,65,1956990,phonk,1050000,623769167,0,0,93.97
St. Plaster,16,1796,"skate punk, melodic hardcore, punk",100,11382,0,0,12.36
VUKOVI,39,66352,"pop punk, rock, metalcore",14800,4478970,0,0,54.66
Call It Off,35,17030,pop punk,66,113979,0,0,31.77
Crossfaith,39,199870,"metalcore, j-rock",1130,9428113,0,0,55.44
Green Lizard,11,2934,"grunge, punk, hardrock, metal",85,24182,0,0,13.100000000000001
Zeal & Ardor,48,263634,black metal,75300,30159129,0,0,69.56
Popes Of Chillitown,25,14307,"ska punk, ska",3400,1201605,0,0,38.84
Dead by April,51,426655,metalcore,8820,56928756,0,0,70.36
The Butcher Sisters,54,63246,"rap, metal, hardcore",36800,15932650,0,0,65.62
NOTHING MORE,65,625915,"alternative rock, alternative metal, hard rock, progressive rock, progressive metal",3570,84110723,0,1,77.06
FIDLAR,48,343066,"garage rock, surf rock, skate punk, indie punk",117000,51725560,0,0,72.28
Defects,22,8672,metalcore,2780,776317,0,0,34.79
Signs of the Swarm,46,190715,"deathcore, death metal, metalcore, metal",2220,18290164,0,0,61.050000000000004
Split Chain,43,60040,shoegaze,487,2312450,0,0,49.16
Sunami,48,194406,"hardcore, hardcore punk",5650000,1134892943,0,0,84.37
Power Trip,44,216661,"thrash metal, speed metal, groove metal, metal, hardcore",24100,14644066,0,1,63.72
Paleface Swiss,57,334147,"deathcore, metalcore, metal",2850,39808279,0,0,69.67999999999999
TRENCHWAR,2,155,"hardcore punk, hardcore",57300,9110689,0,0,25.900000000000002
I'll Get By,13,1958,"melodic hardcore, metalcore, post-hardcore",3,4297,0,0,3.84
Dad Magic,3,803,melodic hardcore,1380,77309,0,0,13.28
Good Riddance,45,115070,"skate punk, punk, melodic hardcore, ska punk, hardcore punk",5680,1178492,0,0,54.010000000000005
Teenage Bottlerocket,44,103874,"skate punk, punk, ska punk, pop punk, horror punk",7670,3731962,0,0,56.58
The Toasters,34,73069,"ska, ska punk, rocksteady",4320,2875654,0,0,49.72
Fit For An Autopsy,51,275441,"deathcore, death metal, metalcore, metal, djent",67800,28232304,0,0,70.66
Dead Poet Society,54,240465,"alternative rock, blues rock, indie rock, garage rock",103,29034213,0,1,61.5
Frank Carter & The Rattlesnakes,45,225080,"punk rock, alternative rock, indie rock, hardcore punk",111,5760113,1,0,53.55
